일자-No.,품목코드,품목명(규격),수량,단가,공급가액,부가세,합계
2026/07/29 -1,EXT10025K,ExTransfection 100 ul kit (25 x 2 reactions),10,"420,000","4,200,000","420,000","4,620,000"
2026/07/29 -1,EXT1025K,ExTransfection 10 ul kit (25 x 2 reactions),10,"420,000","4,200,000","420,000","4,620,000"
